30-11-2018 20:23:36:164 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 44] TSAE session
30-11-2018 20:23:36:313 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 45] TSAE session
30-11-2018 20:23:54:862 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 46] TSAE session
30-11-2018 20:23:54:867 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 47] TSAE session
30-11-2018 20:23:54:868 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 48] TSAE session
30-11-2018 20:23:54:927 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 49] TSAE session
30-11-2018 20:23:55:012 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 50] TSAE session
30-11-2018 20:23:55:214 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 51] TSAE session
30-11-2018 20:23:55:269 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 52] TSAE session
30-11-2018 20:23:55:578 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 53] TSAE session
30-11-2018 20:23:55:749 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 54] TSAE session
30-11-2018 20:24:14:863 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 55] TSAE session
30-11-2018 20:24:15:015 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 56] TSAE session
30-11-2018 20:24:15:180 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 57] TSAE session
30-11-2018 20:24:15:387 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 58] TSAE session
30-11-2018 20:24:15:457 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 59] TSAE session
30-11-2018 20:24:15:464 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 60] TSAE session
30-11-2018 20:24:15:469 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 61] TSAE session
30-11-2018 20:24:15:763 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 62] TSAE session
30-11-2018 20:24:15:919 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 63] TSAE session
30-11-2018 20:24:34:863 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 64] TSAE session
30-11-2018 20:24:34:999 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 65] TSAE session
30-11-2018 20:24:35:076 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 66] TSAE session
30-11-2018 20:24:35:276 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 67] TSAE session
30-11-2018 20:24:35:313 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 68] TSAE session
30-11-2018 20:24:35:533 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 69] TSAE session
30-11-2018 20:24:35:535 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 70] TSAE session
30-11-2018 20:24:35:679 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 71] TSAE session
30-11-2018 20:24:35:788 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 72] TSAE session
30-11-2018 20:24:54:863 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 73] TSAE session
30-11-2018 20:24:54:942 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 74] TSAE session
30-11-2018 20:24:55:028 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 75] TSAE session
30-11-2018 20:24:55:086 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 76] TSAE session
30-11-2018 20:24:55:320 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 77] TSAE session
30-11-2018 20:24:55:497 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 78] TSAE session
30-11-2018 20:24:55:528 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 79] TSAE session
30-11-2018 20:24:55:794 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 80] TSAE session
30-11-2018 20:24:55:797 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 81] TSAE session
30-11-2018 20:25:14:865 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 82] TSAE session
30-11-2018 20:25:14:913 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 83] TSAE session
30-11-2018 20:25:15:038 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 84] TSAE session
30-11-2018 20:25:15:266 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 85] TSAE session
30-11-2018 20:25:15:297 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 86] TSAE session
30-11-2018 20:25:15:302 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 87] TSAE session
30-11-2018 20:25:15:467 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 88] TSAE session
