01-12-2018 00:45:09:329 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 72] TSAE session
01-12-2018 00:45:09:331 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 73] TSAE session
01-12-2018 00:45:09:390 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 74] TSAE session
01-12-2018 00:45:09:672 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 75] TSAE session
01-12-2018 00:45:09:932 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 76] TSAE session
01-12-2018 00:45:10:123 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 77] TSAE session
01-12-2018 00:45:10:467 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 78] TSAE session
01-12-2018 00:45:10:760 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 79] TSAE session
01-12-2018 00:45:10:764 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 80] TSAE session
01-12-2018 00:45:11:000 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 81] TSAE session
01-12-2018 00:45:11:200 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 82] TSAE session
01-12-2018 00:45:11:378 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 83] TSAE session
01-12-2018 00:45:11:624 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 84] TSAE session
01-12-2018 00:45:29:326 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 85] TSAE session
01-12-2018 00:45:29:409 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 86] TSAE session
01-12-2018 00:45:29:725 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 87] TSAE session
01-12-2018 00:45:29:916 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 88] TSAE session
01-12-2018 00:45:29:926 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 89] TSAE session
01-12-2018 00:45:29:940 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 90] TSAE session
01-12-2018 00:45:30:239 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 91] TSAE session
01-12-2018 00:45:30:425 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 92] TSAE session
01-12-2018 00:45:30:694 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 93] TSAE session
01-12-2018 00:45:31:010 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 94] TSAE session
01-12-2018 00:45:31:013 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 95] TSAE session
01-12-2018 00:45:31:016 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 96] TSAE session
01-12-2018 00:45:31:066 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 97] TSAE session
01-12-2018 00:45:31:360 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 98] TSAE session
01-12-2018 00:45:49:327 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 99] TSAE session
01-12-2018 00:45:49:331 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 100] TSAE session
