01-12-2018 00:44:13:803 groupXX@192.168.1.141:35005 [INFO] : [groupXX@192.168.1.141:35005] ADD recipe: sortwisy
01-12-2018 00:44:29:480 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 43] TSAE session
01-12-2018 00:44:29:484 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 44] TSAE session
01-12-2018 00:44:29:713 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 45] TSAE session
01-12-2018 00:44:29:926 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 46] TSAE session
01-12-2018 00:44:29:987 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 47] TSAE session
01-12-2018 00:44:30:242 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 48] TSAE session
01-12-2018 00:44:30:244 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 49] TSAE session
01-12-2018 00:44:30:430 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 50] TSAE session
01-12-2018 00:44:30:489 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 51] TSAE session
01-12-2018 00:44:30:962 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 52] TSAE session
01-12-2018 00:44:31:168 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 53] TSAE session
01-12-2018 00:44:31:398 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 54] TSAE session
01-12-2018 00:44:31:649 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 55] TSAE session
01-12-2018 00:44:31:851 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 56] TSAE session
01-12-2018 00:44:49:480 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 57] TSAE session
01-12-2018 00:44:49:482 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 58] TSAE session
01-12-2018 00:44:49:624 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 59] TSAE session
01-12-2018 00:44:49:764 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 60] TSAE session
01-12-2018 00:44:50:070 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 61] TSAE session
01-12-2018 00:44:50:324 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 62] TSAE session
01-12-2018 00:44:50:568 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 63] TSAE session
01-12-2018 00:44:50:571 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 64] TSAE session
01-12-2018 00:44:50:767 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 65] TSAE session
01-12-2018 00:44:50:962 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 66] TSAE session
01-12-2018 00:44:51:194 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 67] TSAE session
01-12-2018 00:44:51:365 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 68] TSAE session
01-12-2018 00:44:51:489 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 69] TSAE session
01-12-2018 00:44:51:492 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 70] TSAE session
01-12-2018 00:45:09:480 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 71] TSAE session
01-12-2018 00:45:09:670 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 72] TSAE session
01-12-2018 00:45:09:998 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 73] TSAE session
01-12-2018 00:45:10:197 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 74] TSAE session
01-12-2018 00:45:10:502 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 75] TSAE session
01-12-2018 00:45:10:762 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 76] TSAE session
01-12-2018 00:45:10:765 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 77] TSAE session
01-12-2018 00:45:10:995 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 78] TSAE session
01-12-2018 00:45:11:132 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 79] TSAE session
01-12-2018 00:45:11:357 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 80] TSAE session
01-12-2018 00:45:11:626 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 81] TSAE session
01-12-2018 00:45:11:638 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 82] TSAE session
01-12-2018 00:45:11:717 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 83] TSAE session
01-12-2018 00:45:11:783 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 84] TSAE session
01-12-2018 00:45:13:801 groupXX@192.168.1.141:35005 [INFO] : [groupXX@192.168.1.141:35005] ADD recipe: iiaeyelf
01-12-2018 00:45:29:480 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 85] TSAE session
01-12-2018 00:45:29:629 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 86] TSAE session
01-12-2018 00:45:29:902 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 87] TSAE session
01-12-2018 00:45:30:088 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 88] TSAE session
01-12-2018 00:45:30:097 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 89] TSAE session
01-12-2018 00:45:30:328 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 90] TSAE session
01-12-2018 00:45:30:336 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 91] TSAE session
01-12-2018 00:45:30:338 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 92] TSAE session
01-12-2018 00:45:30:569 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 93] TSAE session
01-12-2018 00:45:30:748 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 94] TSAE session
01-12-2018 00:45:30:833 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 95] TSAE session
01-12-2018 00:45:31:126 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 96] TSAE session
01-12-2018 00:45:31:128 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 97] TSAE session
01-12-2018 00:45:31:389 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 98] TSAE session
01-12-2018 00:45:33:802 groupXX@192.168.1.141:35005 [INFO] : [groupXX@192.168.1.141:35005] ADD recipe: nihkolbq
01-12-2018 00:45:49:483 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 99] TSAE session
01-12-2018 00:45:49:635 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 100] TSAE session
01-12-2018 00:45:49:957 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 101] TSAE session
01-12-2018 00:45:50:248 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 102] TSAE session
